region,country,weather_station,station_code,data_format,url
2,CHN,Gansu.Minxian,560930,CSWD,2_asia_wmo_region_2/CHN_Gansu.Minxian.560930_CSWD.zip
2,CHN,Gansu.Pingliang,539150,CSWD,2_asia_wmo_region_2/CHN_Gansu.Pingliang.539150_CSWD.zip
2,CHN,Gansu.Tianshui,570060,CSWD,2_asia_wmo_region_2/CHN_Gansu.Tianshui.570060_CSWD.zip
2,CHN,Gansu.Wudu,560960,CSWD,2_asia_wmo_region_2/CHN_Gansu.Wudu.560960_CSWD.zip
2,CHN,Gansu.Wudu,560960,SWERA,2_asia_wmo_region_2/CHN_Gansu.Wudu.560960_SWERA.zip
2,CHN,Gansu.Wushaoling,527870,CSWD,2_asia_wmo_region_2/CHN_Gansu.Wushaoling.527870_CSWD.zip
2,CHN,Gansu.Xifengzhen,539230,CSWD,2_asia_wmo_region_2/CHN_Gansu.Xifengzhen.539230_CSWD.zip
2,CHN,Gansu.Yumenzhen,524360,CSWD,2_asia_wmo_region_2/CHN_Gansu.Yumenzhen.524360_CSWD.zip
2,CHN,Gansu.Yumenzhen,524360,SWERA,2_asia_wmo_region_2/CHN_Gansu.Yumenzhen.524360_SWERA.zip
2,CHN,Gansu.Yuzhong,529830,CSWD,2_asia_wmo_region_2/CHN_Gansu.Yuzhong.529830_CSWD.zip
2,CHN,Guangdong.Dianbai,596640,CSWD,2_asia_wmo_region_2/CHN_Guangdong.Dianbai.596640_CSWD.zip
2,CHN,Guangdong.Guangzhou,592870,CSWD,2_asia_wmo_region_2/CHN_Guangdong.Guangzhou.592870_CSWD.zip
2,CHN,Guangdong.Guangzhou,592870,IWEC,2_asia_wmo_region_2/CHN_Guangdong.Guangzhou.592870_IWEC.zip
2,CHN,Guangdong.Heyuan,592930,CSWD,2_asia_wmo_region_2/CHN_Guangdong.Heyuan.592930_CSWD.zip
2,CHN,Guangdong.Nanxiong,579960,CSWD,2_asia_wmo_region_2/CHN_Guangdong.Nanxiong.579960_CSWD.zip
2,CHN,Guangdong.Shantou,593160,CSWD,2_asia_wmo_region_2/CHN_Guangdong.Shantou.593160_CSWD.zip
2,CHN,Guangdong.Shanwei,595010,CSWD,2_asia_wmo_region_2/CHN_Guangdong.Shanwei.595010_CSWD.zip
2,CHN,Guangdong.Shaoguan,590820,CSWD,2_asia_wmo_region_2/CHN_Guangdong.Shaoguan.590820_CSWD.zip
2,CHN,Guangdong.Shenzhen,594930,SWERA,2_asia_wmo_region_2/CHN_Guangdong.Shenzhen.594930_SWERA.zip
2,CHN,Guangdong.Yangjiang,596630,CSWD,2_asia_wmo_region_2/CHN_Guangdong.Yangjiang.596630_CSWD.zip
2,CHN,Guangdong.Zhengcheng,592940,CSWD,2_asia_wmo_region_2/CHN_Guangdong.Zhengcheng.592940_CSWD.zip
